path,folder_label,predicted,proba,top2,top2_proba,crop_match
dataset_sri_lanka\Papaya_Leaf_curl\papaya_00388.jpg,Papaya_Leaf_curl,Papaya_Bacterial_spot,0.8375,Papaya_Leaf_curl,0.1,yes
dataset_sri_lanka\Papaya_Leaf_curl\papaya_00393.jpg,Papaya_Leaf_curl,Papaya_Bacterial_spot,0.57,Papaya_Leaf_curl,0.3675,yes
dataset_sri_lanka\Papaya_Leaf_curl\papaya_00395.jpg,Papaya_Leaf_curl,Papaya_Bacterial_spot,0.5504,Papaya_Leaf_curl,0.4496,yes
dataset_sri_lanka\Papaya_Leaf_curl\papaya_00398.jpg,Papaya_Leaf_curl,Papaya_Bacterial_spot,0.7235,Papaya_Leaf_curl,0.2515,yes
dataset_sri_lanka\Potato_Early_blight\ai dataset_9cd81447-0701-4969-86aa-5f20269923c5___RS_Early.B 8790.JPG,Potato_Early_blight,Potato_Late_blight,0.6625,Potato_Early_blight,0.15,yes
dataset_sri_lanka\Tea_Bird_eye_spot\tea_00007.jpg,Tea_Bird_eye_spot,Tea_Anthracnose,0.575,Tea_Bird_eye_spot,0.2125,yes
dataset_sri_lanka\Tea_Bird_eye_spot\tea_00009.jpg,Tea_Bird_eye_spot,Tea_Anthracnose,0.9,Tea_Bird_eye_spot,0.0375,yes
dataset_sri_lanka\Tea_White_spot\tea_00083.jpg,Tea_White_spot,Tea_Brown_blight,0.575,Tea_White_spot,0.325,yes
dataset_sri_lanka\Tea_White_spot\tea_00085.jpg,Tea_White_spot,Tea_Brown_blight,0.6125,Tea_White_spot,0.2,yes
dataset_sri_lanka\Tomato_Bacterial_spot\ai dataset_090e981e-4e75-48db-806d-c28c970f3c9a___UF.GRC_BS_Lab Leaf 9256.JPG,Tomato_Bacterial_spot,Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.5625,Tomato_Bacterial_spot,0.3125,yes
dataset_sri_lanka\Tomato_Bacterial_spot\ai dataset_94532bf7-7d74-455a-8526-938c93da0d63___UF.GRC_BS_Lab Leaf 9226.JPG,Tomato_Bacterial_spot,Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.6,Tomato_Bacterial_spot,0.1625,yes
dataset_sri_lanka\Tomato_Bacterial_spot\ai dataset_eea69188-8c51-4d11-9e2d-4aec3e91a078___UF.GRC_BS_Lab Leaf 8912.JPG,Tomato_Bacterial_spot,Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.575,Orange_Haunglongbing_(Citrus_greening),0.275,yes
dataset_sri_lanka\Tomato_Late_blight\ai dataset_136d79a3-4eea-4415-9f3e-0ccb61d7aeef___RS_Late.B 5216.JPG,Tomato_Late_blight,Tomato_Early_blight,0.55,Tomato_Late_blight,0.3,yes
dataset_sri_lanka\Tomato_Late_blight\ai dataset_2164b3f8-102c-481c-9d89-7e2f6087a121___RS_Late.B 5065.JPG,Tomato_Late_blight,Tomato_Early_blight,0.5625,Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.075,yes
dataset_sri_lanka\Tomato_Late_blight\ai dataset_76ca83b8-0695-470d-a715-2fcb9efb4fc4___RS_Late.B 5062.JPG,Tomato_Late_blight,Tomato_Early_blight,0.55,Tomato_Late_blight,0.1125,yes
dataset_sri_lanka\Tomato_Late_blight\ai dataset_d674cbf6-0cdc-407a-97ea-c3f53f2c51e4___GH_HL Leaf 170.JPG,Tomato_Late_blight,Tomato_healthy,0.95,Tomato_Tomato_mosaic_virus,0.0125,yes
dataset_sri_lanka\Tomato_Target_Spot\ai dataset_84f8fd9a-fb45-4322-8ee3-17e42be6b0e0___Com.G_TgS_FL 9773.JPG,Tomato_Target_Spot,Tomato_Spider_mites_Two-spotted_spider_mite,0.7875,Tomato_Target_Spot,0.0625,yes
dataset_sri_lanka\Tomato_Target_Spot\ai dataset_ea656be9-03db-4a81-b78c-12a7f9f87d01___Com.G_TgS_FL 9682.JPG,Tomato_Target_Spot,Tomato_Spider_mites_Two-spotted_spider_mite,0.575,Tomato_Target_Spot,0.2,yes
dataset_sri_lanka\Tomato_Tomato_Yellow_Leaf_Curl_Virus\ai dataset_b00db472-11ed-444e-a2da-84775b902b3f___YLCV_NREC 2690.JPG,Tomato_Tomato_Yellow_Leaf_Curl_Virus,Tomato_Spider_mites_Two-spotted_spider_mite,0.625,Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.2125,yes
